"STATE","CITY","LAT","LON","NAME"
"AL","Ranburne",33.523373,-85.346519,"Ranburne High School"
"AL","Heflin",33.597278,-85.482177,"Cleburne County Career Technical School"
"AL","Heflin",33.597278,-85.482177,"Cleburne County Alternative School"
"AL","New Brockton",31.380382,-85.935457,"New Brockton High School"
"AL","Cherokee",34.7657,-87.9633,"Cherokee High School"
"AL","Leighton",34.6955,-87.5244,"Colbert County High School"
"AL","Tuscumbia",34.669434,-87.700833,"Colbert Heights High School"
"AL","Evergreen",31.431297,-86.937172,"Hillcrest High School"
"AL","Evergreen",31.431297,-86.937172,"Genesis School"
"AL","Evergreen",31.433284,-86.94062,"Conecuh County Area Vocational Center"
"AL","Rockford",33.006452,-86.201187,"Central High School"
"AL","Florala",31.0028,-86.3368,"Florala High School"
"AL","Andalusia",31.3906,-86.4157,"Straughn High School"
"AL","Luverne",31.7051,-86.2677,"Crenshaw County Career Academy"
"AL","Cullman",34.1885,-86.8418,"Cullman High School"
"AL","Cullman",34.1792,-86.8405,"Cullman City Career Tech"
"AL","Bremen",33.982384,-87.032348,"Cold Springs High School"
"AL","Cullman",34.255046,-86.687902,"Fairview High School"
"AL","Cullman",34.1035,-86.8797,"Good Hope High School"
"AL","Hanceville",34.0612,-86.7608,"Hanceville High School"
"AL","Holly Pond",34.1769,-86.619,"Holly Pond High School"
"AL","Vinemont",34.244071,-86.864278,"Vinemont High School"
"AL","Cullman",34.2373,-86.9633,"West Point High School"
"AL","Cullman",34.2227,-86.8569,"Cullman Area Technology Academy"
"AL","Cullman",34.207556,-87.053468,"Cullman Area Resource Education"
"AL","Midland City",31.320654,-85.504214,"Dale County High School"
"AL","Skipperville",31.559,-85.5509,"George W Long High School"
"AL","Ozark",31.45128,-85.65335,"Opportunity Academy"
"AL","Ozark",31.425051,-85.616218,"Bridge Academy"
"AL","Daleville",31.316204,-85.709728,"Daleville High School"
"AL","Plantersville",32.661814,-86.929631,"Dallas County High School"
"AL","Orrville",32.292538,-87.235715,"Keith MiddleHigh School"
"AL","Selma",32.327267,-86.928401,"Southside High School"
"AL","Selma",32.372036,-87.016634,"Dallas County Career Technical Center"
"AL","Fort Payne",34.460201,-85.703264,"Alternative School"
"AL","Rainsville",34.49173,-85.8406,"Dekalb Technical Center"
"AL","Crossville",34.290223,-85.996301,"Crossville High School"
"AL","Decatur",34.563684,-87.049556,"Austin High School"
"AL","Decatur",34.593282,-86.97216,"Decatur High School"
"AL","Decatur",34.593282,-86.97216,"Decatur High Developmental"
"AL","Decatur",34.57954,-87.007634,"Career Technical Center"
"AL","Demopolis",32.494584,-87.845732,"Demopolis High School"
"AL","Dothan",31.2429,-85.3885,"PASS Academy"
"AL","Dothan",31.2665,-85.3811,"Dothan Technology Center"
"AL","Dothan",31.2676,-85.3814,"Dothan High School"
"AL","Dothan",31.209408,-85.395181,"Dothan City Virtual School"
"AL","Elba",31.427146,-86.10309,"Elba High School"
"AL","Elba",31.427146,-86.10309,"Elba Area Vocational School"
"AL","Eclectic",32.6338,-86.0296,"Elmore County High School"
"AL","Deatsville",32.6356,-86.3261,"Holtville High School"
"AL","Millbrook",32.4942,-86.3624,"Stanhope Elmore High School"
"AL","Wetumpka",32.5525,-86.2225,"Wetumpka High School"
"AL","Wetumpka",32.5504,-86.2156,"Elmore County Technical Center"
"AL","Enterprise",31.328129,-85.869911,"Enterprise High School"
"AL","Enterprise",31.3098,-85.8602,"Enterprise Career and Technology Center"
"AL","Atmore",31.0065,-87.4866,"Escambia County High School"
"AL","Flomaton",31.006,-87.2699,"Flomaton High School"
"AL","East Brewton",31.09011,-87.05455,"W S Neal High School"
"AL","Flomaton",31.0067,-87.2682,"Escambia County Alternative School"
