lang
Afar
Abkhazian
Avestan
Afrikaans
Akan
Amharic
Aragonese
Arabic
Assamese
Avaric
Aymara
Azerbaijani
Bashkir
Belarusian
Bulgarian
Bislama
Bambara
Bengali
Tibetan
Breton
Bosnian
Catalan
Chechen
Chamorro
Corsican
Cree
Czech
Old Slavonic
Chuvash
Welsh
Danish
German
Maldivian
Dzongkha
Ewe
Greek
English
Esperanto
Spanish
Estonian
Basque
Persian
Fulah
Finnish
Fijian
Faroese
French
Western Frisian
Irish
Gaelic
Galician
Guarani
Gujarati
Manx
Hausa
Hebrew
Hindi
Hiri Motu
Croatian
Haitian
Hungarian
Armenian
Herero
Interlingua
Indonesian
Interlingue
Igbo
Sichuan Yi
Inupiaq
Ido
Icelandic
Italian
Inuktitut
Japanese
Javanese
Georgian
Kongo
Kikuyu
Kwanyama
Kazakh
Greenlandic
Central Khmer
Kannada
Korean
Kanuri
Kashmiri
Kurdish
Komi
Cornish
Kirghiz
Latin
Luxembourgish
Ganda
Limburgish
Lingala
Lao
Lithuanian
Luba-Katanga
Latvian
Malagasy
Marshallese
Maori
Macedonian
Malayalam
Mongolian
Marathi
Malay
Maltese
Burmese
Nauru
Norwegian
North Ndebele
Nepali
Ndonga
Dutch
Norwegian Nynorsk
Norwegian
South Ndebele
Navajo
Nyanja
Occitan
Ojibwa
Oromo
Oriya
Ossetic
Punjabi
Pali
Polish
Pashto
Portuguese
Quechua
Romansh
Rundi
Romanian
Russian
Kinyarwanda
Sanskrit
Sardinian
Sindhi
Northern Sami
Sango
Sinhalese
Slovak
Slovenian
Samoan
Shona
Somali
Albanian
Serbian
Swati
Southern Sotho
Sundanese
Swedish
Swahili
Tamil
Telugu
Tajik
Thai
Tigrinya
Turkmen
Tagalog
Tswana
Tonga
Turkish
Tsonga
Tatar
Twi
Tahitian
Uighur
Ukrainian
Urdu
Uzbek
Venda
Vietnamese
Volapük
Walloon
Wolof
Xhosa
Yiddish
Yoruba
Zhuang
Chinese
Zulu
Pig Latin
Minionese
